NAME,AIRCRAFT_MODEL, TAIL REGISTRATION,TOTAL MILES FLOWN, TOTAL FLIGHTS, TOTAL FUEL USED , TOTAL FLIGHT TIME , TOTAL CO2 POLLUTION 
"(CLICK TO ENLARGE)Elon Musk is a brilliant visionary and innovative businessman who has made significant contributions to the fields of technology and space exploration. He is the founder and Chief Engineer ofSpaceX, the CEO ofTesla Motors, and the Chief Technology Officer ofTwitter. Musk’s desire to hide his private jet flight history bysuspending Jack Sweeneyis the main reason this website was created, proving thatThe Streisand Effectis real. He owns two private jets, aGulfstream G6tail registrationN628TSand a Gulfstream G5 tail registrationN272BG. Elon Musk’s net worth is estimated to be over $170 billion, making him one of the richest people in the world.Flight History for Elon MuskElon Musk (plane #1)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N628TS,"491,811 miles",346,"545,240 gallons",45 days10 hours32 minutes,"5,443metric tons"
"(CLICK TO ENLARGE)Elon Musk is a brilliant visionary and innovative businessman who has made significant contributions to the fields of technology and space exploration. He is the founder and Chief Engineer ofSpaceX, the CEO ofTesla Motors, and the Chief Technology Officer ofTwitter. Musk’s desire to hide his private jet flight history bysuspending Jack Sweeneyis the main reason this website was created, proving thatThe Streisand Effectis real. He owns two private jets, aGulfstream G6tail registrationN628TSand a Gulfstream G5 tail registrationN272BG. Elon Musk’s net worth is estimated to be over $170 billion, making him one of the richest people in the world.Flight History for Elon MuskElon Musk (plane #2)",Gulfstream V,N272BG,"173,900 miles",126,"149,130 gallons",16 days16 hours20 minutes,"1,997metric tons"
"(CLICK TO ENLARGE)Elton John is a British musician, singer-songwriter, and composer who rose to fame in the 1970s. He has sold over 300 million records, has won multiple Grammy Awards, Tonys, and an Academy Award, some of his most famous songs are ""Rocket Man"", ""Tiny Dancer"" and ""Your Song"". John has an estimated net worth of over $500 million.Flight History for Elton JohnElton John",Bombardier Global Express,M-EDZE,"18,859 miles",51,"30,990 gallons",2 days15 hours33 minutes,384metric tons
"(CLICK TO ENLARGE)Eric Schmidt is a former technology executive who served as the CEO ofGoogle, and then Executive Chairman ofAlphabet, Google’s parent company. He is a long-time member of the World Economic Forum, and is deeply involved with theirArtificial Intelligence Agenda. Schmidt was exposed using his wealth and influence to meddle in political affairs bypaying the salaries of two dozen staffers working in the Biden administration, coincidentally the staffers that were formulating Biden’s Artificial Intelligence Policies. Schmidt has an estimated net worth of $19 billion.Flight History for Eric SchmidtEric Schmidt","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N652WE,"704,738 miles",583,"824,480 gallons",68 days4 hours26 minutes,"8,239metric tons"
"(CLICK TO ENLARGE)Floyd Mayweather is a retired American boxer who is considered one of the greatest boxers of all time. He is known for his undefeated record of 50 wins and 0 losses, earning him the nickname ""Money Mayweather"". Mayweather is also known for his flashy lifestyle, including his numerous luxury cars and private jets, his estimated net worth $450 million.Flight History for Floyd MayweatherFloyd Mayweather",Gulfstream IV,N151SD,"83,740 miles",89,"108,230 gallons",10 days1 hour53 minutes,"1,462metric tons"
"(CLICK TO ENLARGE)George Lucas is an American filmmaker, best known for creating the ""Star Wars"" and ""Indiana Jones"" franchises. He foundedLucasfilmwhich he later sold Disney for $4 billion. Lucas has an estimated net worth of over $8 billion.Flight History for George LucasGeorge Lucas",Gulfstream V,N138GL,"199,609 miles",144,"171,620 gallons",19 days5 hours13 minutes,"2,308metric tons"
"(CLICK TO ENLARGE)Googleis a multinational technology and advertising company founded by Larry Page andSergey Brin.Google is best known for its search engine, which is supported by it’ aggressive andprivacy invading contextual advertising modelthat follows users across websites, onto streaming platforms and mobile devices.Google’s net worth is estimated to be over $1 trillion.Flight History for GoogleGoogle",Gulfstream V,N10XG,"134,010 miles",78,"115,090 gallons",12 days21 hours32 minutes,"1,540metric tons"
(CLICK TO ENLARGE)Harrison Ford is an American actor who is most famous for his roles in popular films such asStar WarsandIndiana Jones. He is an aviation enthusiast and has a pilots license. LikeTom Cruisehe also owns vintage aircraft. Ford has an estimated net worth of $300 million.Flight History for Harrison FordHarrison Ford,Cessna Citation Sovereign,N6GU,"75,662 miles",58,"35,250 gallons",8 days15 hours13 minutes,629metric tons
"(CLICK TO ENLARGE)Jay Z is an American entertainer, he is best known for being a rapper, songwriter and music producer. He has won 22 Grammys and sold over 100 million records sold worldwide, making him one of the best-selling musicians of all time. Jay Z’s net worth is estimated at $1 billion.Flight History for Jay ZJay Z",Gulfstream V,N444SC,"386,642 miles",291,"341,990 gallons",38 days5 hours15 minutes,"4,594metric tons"
Jeff Bezos (plane #1),"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N758PB,"22,150 miles",8,"21,140 gallons",1 day18 hours10 minutes,212metric tons
"(CLICK TO ENLARGE)Jeff Bezos is an American entrepreneur, and the founder and former CEO ofAmazon.com. He is currently the Executive Chairman on Amazon’s board of directors. He also ownsThe Washington Postand the founder of the private space exploration companyBlue Origin. Bezo’s estimated net worth is $113 billion making him one of the richest men in the world.Flight History for Jeff BezosJeff Bezos (plane #2)","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N758PB,"4,416 miles",4,"4,490 gallons",9 hours6 minutes,44metric tons
"(CLICK TO ENLARGE)Jerry Jones is an American businessman and owner of theDallas Cowboys. Under Jones’ ownership, the Cowboys have won three Super Bowl championships and have become one of the most valuable sports franchises in the world, worth an estimated $5 billion. Jones’ net worth is estimated to be over $8 billion.Flight History for Jerry JonesJerry Jones",Gulfstream V,N1DC,"164,956 miles",141,"140,480 gallons",15 days15 hours52 minutes,"1,881metric tons"
"(CLICK TO ENLARGE)Jim Carrey is an actor and comedian, he is best known for his dynamic performances in popular movies such asThe Mask,Ace Ventura: Pet Detective. Carey has an estimated net worth of $180 million.Flight History for Jim CarreyJim Carrey",Gulfstream V,N162JC,"173,065 miles",184,"170,010 gallons",18 days23 hours30 minutes,"2,291metric tons"
"(CLICK TO ENLARGE)Judge Judy, (Judith Sheindlin) is an American retired judge who is most famous for hosting her own courtroom TV show ""Judge Judy"" Judge Judy is known for her no-nonsense attitude and witty remarks while presiding over cases on the show. Her estimated net worth is $440 million.Flight History for Judge JudyJudge Judy",Cessna Citation 750,N555QB,"136,813 miles",95,"99,040 gallons",12 days4 hours18 minutes,898metric tons
"(CLICK TO ENLARGE)Kenny Chesney is an American country music singer and songwriter who is known for his laid-back, beach-inspired music, and party-style performances. Chesney has sold over 30 million albums, had 30 songs reach number one on theBillboard Country Charts, and has won multiple awards, including fourEntertainer of the Yearawards from theCountry Music Association. Chesney’s estimated net worth is $190 million.Flight History for Kenny ChesneyKenny Chesney",Dassault Falcon 900,N7KC,"216,061 miles",275,"154,710 gallons",21 days4 hours34 minutes,"2,065metric tons"
"(CLICK TO ENLARGE)Kid Rock is an American rapper and singer-songwriter. He is best known for his unique blend of hip-hop, rock and country music. Kid Rock’s estimated net worth is $100 million.Flight History for Kid RockKid Rock",Bombardier Challenger 600,N71KR,"86,831 miles",168,"72,910 gallons",10 days11 hours44 minutes,"1,024metric tons"
"(CLICK TO ENLARGE)Kim Kardashian American entertainment personality and successful businesswoman.She is best known for her appearances on the popular reality television series ""Keeping Up with the Kardashians"". Today she runs several companies infashion and beauty products industries, and is one of the most popular and influential people in social media. Kim is also the half-sister ofKylie Jenner, and her net worth is estimated to be over $1 billion.Flight History for Kim KardashianKim Kardashian","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N1980K,"427,972 miles",242,"474,300 gallons",40 days11 hours58 minutes,"4,800metric tons"
"(CLICK TO ENLARGE)Kylie Jenner an American reality TV star and beauty mogul, she is best known for appearing on the reality show ""Keeping Up with the Kardashians"", with her half-sisterKim Kardashian. She launched her own highly successful cosmetics brand,Kylie Cosmetics. As of 2021, Jenner’s net worth is estimated to be around $900 million.Flight History for Kylie JennerKylie Jenner",Bombardier Global 7500,N810KJ,"363,237 miles",224,"441,420 gallons",34 days10 hours32 minutes,"5,033metric tons"
"(CLICK TO ENLARGE)Lady Gaga is an American singer, songwriter, and actress who is most famous for her catchy pop songs and her unique fashion sense. She has won numerous awards for her music, and is known for her over-the-top live performances. Lady Gaga’s estimated net worth is $320 million.Flight History for Lady GagaLady Gaga",Gulfstream V,N474D,"196,744 miles",123,"175,660 gallons",19 days15 hours3 minutes,"2,354metric tons"
"(CLICK TO ENLARGE)Larry Ellison is an American businessman investor,, he is best known as the founder and former CEO ofOracle Technologies, and remains the Executive Chairman on their Board of Directors. He is also known forowning 98% of the land on Lanai, the sixth-largest island in the Hawaiian Archipelago. Ellison was also an early investor inElon Musk’scompany,Tesla Motors. His estimated net worth is $121 billion, putting him in the top 10 of richest people in the world.Flight History for Larry EllisonLarry Ellison","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N817GS,"107,886 miles",82,"130,850 gallons",11 days41 minutes,"1,313metric tons"
"(CLICK TO ENLARGE)Luke Bryan is American country music artist, who is most famous for his chart-topping songs and energetic live performances. He is also known for his role as a judge on popular reality TV shows such asAmerican IdolandThe Voice. Bryan has an estimated net worth of $140 million.Flight History for Luke BryanLuke Bryan",Learjet 60,N506AB,"439,594 miles",752,"267,510 gallons",54 days17 hours17 minutes,"4,007metric tons"
"(CLICK TO ENLARGE)Magic Johnson is an American former professional basketball player and businessman. He played for theLos Angeles Lakersfor 13 seasons and is widely regarded as one of the greatest basketball players of all time. After retiring from basketball, Johnson became a successful businessman with holdings in entertainment, real estate, and restaurants. Johnson has an estimated net worth of $600 million.Flight History for Magic JohnsonMagic Johnson",Gulfstream II,N32MJ,"9,640 miles",7,"7,660 gallons",1 day3 hours6 minutes,82metric tons
(CLICK TO ENLARGE)Mark Cuban is an American entrepreneur and television personality. He is most famous for being the owner of theDallas Mavericksand for his appearances on the reality showShark Tank. Cuban has an estimated net worth of over $4 billion.Flight History for Mark CubanMark Cuban,Bombardier Global Express,N921MT,"175,965 miles",179,"213,160 gallons",18 days7 hours17 minutes,"2,634metric tons"
"(CLICK TO ENLARGE)Marc Benioff is an American Entrepreneur and business leader, he is best known for being the founder and current CEO of the software companySalesforce. While businesses value Salesforce CRM data, critics cite privacy concerns and Salesforce’s role in the growth of thesurveillance capitalism industry. Additionally Benioff is a huge climate change hypocryte, he has said'We need to apply every strategy possible to protect and preserve our planet', and yet he still flies in a private jet. Benioff’s current net worth is estimated to be $1 billion.Flight History for Marc BenioffMarc Benioff","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N650HA,"235,443 miles",138,"287,110 gallons",23 days21 hours19 minutes,"2,868metric tons"
"(CLICK TO ENLARGE)Mark Wahlberg is an American actor and entertainer. He rose to fame as a rapper with the groupMarky Mark and the Funky Bunch. Eventually, Wahlberg transitioned to acting, where he has since become a prominent figure in multiple Hollywood blockbuster movies includingTransformers: Age of Extinction. Wahlberg has an estimated net worth of $350 million.Flight History for Mark WahlbergMark Wahlberg",Bombardier Global Express,N143MW,"144,185 miles",102,"176,610 gallons",15 days2 hours39 minutes,"2,181metric tons"
"(CLICK TO ENLARGE)Mark Zuckerberg is an American internet entrepreneur, he is best known for co-founding the social media networkFacebook, where he is currently the Chief Executive Officer. Zuckerberg has an estimated net worth of $83 billion.Flight History for Mark ZuckerbergMark Zuckerberg","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N68885,"348,449 miles",294,"439,710 gallons",36 days15 hours1 minute,"4,390metric tons"
"(CLICK TO ENLARGE)Matt Damon is an American actor, producer, and screenwriter who is best known for his performances in theJason Bourne film seriesandGood Will Hunting. Damon has an estimated net worth of $170 million.Flight History for Matt DamonMatt Damon",Bombardier Global 7500,N444WT,"210,525 miles",160,"266,560 gallons",21 days12 hours19 minutes,"3,038metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #1)",Dassault Falcon 900,N5MV,"407,734 miles",349,"297,040 gallons",40 days12 hours48 minutes,"3,953metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #2)",Dassault Falcon 900,N47EG,"294,524 miles",332,"230,500 gallons",31 days14 hours50 minutes,"3,064metric tons"
"(CLICK TO ENLARGE)Michael Bloomberg is an American politician,entrepreneur,andclimate change hypocrite. When he was mayor of NYC he acted like a petty tyrant and tried to make it illegal for stores to sell large soft drinks (source:Reuters). Today he keeps busylecturing people about making sacrifices for climate change,while he owns8 mansions,4 cars,1helicopter,a4 story luxury yacht,and 3 private jets (N5MV,N8AGandN47EG). Bloomberg’s estimated net worth is over 59 billion.Flight History for Michael BloombergMichael Bloomberg (plane #3)",Dassault Falcon 900,N8AG,"157,945 miles",155,"117,560 gallons",16 days3 hours39 minutes,"1,569metric tons"
"(CLICK TO ENLARGE)Michael Jordan is a former professional basketball player who is considered one of the greatest athletes of all time. He played for theChicago BullsandWashington Wizardsthroughout his career, winning six NBA championships and five Most Valuable Player awards. Jordan is also known for his iconicAir Jordan sneakersmade byNike. Jordan has an estimated net worth of over $1 billion.Flight History for Michael JordanMichael Jordan",Gulfstream V,N236MJ,"49,230 miles",62,"47,590 gallons",5 days7 hours5 minutes,638metric tons
(CLICK TO ENLARGE)Phil Knight is an American businessman who is best known as the co-founder ofNike. Knight has an estimated net worth of $46 billion.Flight History for Phil KnightPhil Knight,"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N1KE,"195,691 miles",196,"265,330 gallons",22 days2 hours43 minutes,"2,654metric tons"
(CLICK TO ENLARGE)Nikeis an global athletic apparel company best known for it’s footwear. Nike’s co-founder Phil Knight has a private jet with the tail registrationN1KE. Nike uses their jet to manage their global business and celebrity endorsements. Nike has an estimated net worth of $184 billion.Flight History for Nike CorporationNike Corporation,"(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N6453,"235,790 miles",157,"281,410 gallons",23 days12 hours26 minutes,"2,822metric tons"
"(CLICK TO ENLARGE)Oprah Winfrey is an American talk show host,actress,producer,and entertainment mogul. She is best known for her talk show, ""The Oprah Winfrey Show"". She has since launched several new ventures,including theOprah Winfrey Network(OWN),a cable television channel. Oprah has an estimated net wort of over $2 billion.Flight History for Oprah WinfreyOprah Winfrey","(CLICK TO ENLARGE)The Gulfstream G650 (GLF6) is a large business jet manufactured byGulfstream Aerospace, the first customer delivery of this aircraft was in December of 2012. This model can accommodate 11 to 18 passengers, has a range of 8,000 miles, and a cruising speed of 594 mph. A typical Gulfstream G650 costs between 64-70 million dollars, and over 470 individual aircraft have been produced. This is most popular jet among the celebrities we are tracking, and is owned byKim Kardashian,Alex Rodriguez,Bill Gates,Oprah Winfreyand14 other celebrities.Gulfstream G650Gulfstream G650",N540W,"236,730 miles",179,"282,150 gallons",23 days14 hours32 minutes,"2,835metric tons"
"(CLICK TO ENLARGE)Sean Combs, known professionally as P. Diddy, is an American rapper, songwriter, producer, and entrepreneur. He is most famous for his successful music career, but has also made a name for himself in the fashion and liquor industries. P Diddy’s estimated net worth is $885 million.Flight History for P. DiddyP. Diddy",Gulfstream V,N1969C,"491,659 miles",391,"457,670 gallons",51 days3 hours5 minutes,"6,150metric tons"
"(CLICK TO ENLARGE)Peter Thiel is an American entrepreneur, venture capitalist, and hedge fund manager who is most famous for co-foundingPayPal. He also foundedPalantira data mining and analysis company that is widely criticized for it’s privacy invasive techniques of gathering data. Thiel has an estimated net worth of over $3 billion.Flight History for Peter ThielPeter Thiel",Gulfstream V,N878DB,"108,212 miles",69,"97,090 gallons",10 days19 hours11 minutes,"1,299metric tons"
(CLICK TO ENLARGE)Phil Mickelson is an American professional golfer who has won numerousPGA Tourevents and major championships over the course of his career. He is known for his aggressive playing style and his ability to hit impressive shots from difficult positions on the course. Mickelson has an estimated net worth of around $400 million.Flight History for Phil MickelsonPhil Mickelson,Gulfstream V,N800PM,"2,004 miles",2,"1,400 gallons",3 hours48 minutes,18metric tons
"(CLICK TO ENLARGE)Playboy Corporation is a privately held adult media and lifestyle company that was founded by Hugh Hefner. The company is best known for its iconic Playboy magazine, which features articles, stories, and photographs of nude or semi-nude women. However, Playboy has expanded its reach over the years and now encompasses a broad range of products and services, including licensing, digital media, consumer products, and entertainment venues. The Playboy Corporation has an estimated net worth of $50 million.Flight History for Playboy CorporationPlayboy Corporation",Bombardier Global Express,N950PB,"17,116 miles",15,"18,650 gallons",1 day14 hours26 minutes,232metric tons
